               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057541,            0.058547,            0.064259,             0.37074,             0.36434,             0.28408,             0.17015,            0.041914,            0.011231,            0.047972,            0.070047,           0.0033281,           0.0033281
                   1,            0.046277,            0.054951,            0.037409,             0.52824,             0.48681,             0.44024,             0.24416,            0.042134,            0.012016,            0.039596,            0.039915,           0.0065296,           0.0065296
                   2,            0.043217,            0.054852,            0.027521,             0.46743,             0.36772,             0.35096,             0.20556,            0.041507,            0.012266,            0.039149,           0.0096512,            0.009599,            0.009599
                   3,            0.040976,            0.055033,            0.025587,             0.57274,             0.58828,             0.58929,             0.36388,            0.035485,             0.01178,            0.026519,            0.009406,            0.009406,            0.009406
                   4,            0.039277,            0.053776,            0.022298,             0.67795,              0.6832,             0.69978,             0.47339,             0.03391,            0.010399,            0.017897,            0.009406,            0.009406,            0.009406
                   5,            0.038076,             0.05262,            0.020712,             0.66943,              0.6969,             0.70977,             0.47647,            0.033208,            0.010565,            0.012724,            0.009208,            0.009208,            0.009208
                   6,            0.037301,            0.052383,            0.019549,             0.71142,             0.70391,             0.74738,             0.51813,             0.03249,            0.009904,            0.018774,             0.00901,             0.00901,             0.00901
                   7,             0.03678,            0.051798,            0.018616,             0.69934,             0.72377,             0.74907,             0.53069,            0.031176,            0.010009,            0.015389,            0.008812,            0.008812,            0.008812
                   8,            0.036332,            0.051502,             0.01779,             0.74131,             0.73512,             0.77659,             0.56159,            0.030508,           0.0095321,            0.011825,            0.008614,            0.008614,            0.008614
                   9,            0.036003,            0.050962,            0.017147,             0.69765,             0.75603,             0.76436,             0.54925,            0.031254,           0.0099896,            0.016283,            0.008416,            0.008416,            0.008416
                  10,            0.035658,            0.050635,            0.016806,             0.73329,             0.78134,             0.79479,             0.57955,            0.029765,           0.0096489,           0.0081137,            0.008218,            0.008218,            0.008218
                  11,            0.035461,            0.050334,            0.016266,             0.76432,             0.75775,             0.79943,             0.58061,            0.029539,           0.0093718,           0.0099458,             0.00802,             0.00802,             0.00802
                  12,            0.035197,            0.049798,            0.015743,              0.7537,              0.7751,             0.79634,             0.58428,            0.029247,           0.0092687,           0.0084577,            0.007822,            0.007822,            0.007822
                  13,            0.034743,            0.049926,             0.01552,             0.77079,             0.77232,             0.81156,             0.60117,            0.028745,           0.0090849,           0.0071132,            0.007624,            0.007624,            0.007624
