               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051952,            0.056849,            0.053861,              0.6005,             0.58906,             0.55967,             0.37464,             0.03607,            0.010207,            0.027587,            0.070023,           0.0033307,           0.0033307
                   1,            0.041489,            0.051387,            0.024416,             0.69937,             0.69032,              0.7253,             0.54379,            0.027834,           0.0092148,            0.017197,            0.039892,           0.0065321,           0.0065321
                   2,            0.039449,             0.05134,            0.022851,             0.55737,             0.62777,             0.62251,             0.42889,            0.030309,            0.011211,            0.024017,           0.0096276,           0.0096015,           0.0096015
                   3,            0.038747,            0.052672,            0.023462,             0.68855,             0.68977,             0.71312,             0.51689,            0.028681,             0.00958,            0.015148,            0.009406,            0.009406,            0.009406
                   4,            0.036575,             0.05081,            0.020019,             0.71412,             0.72537,             0.74732,              0.5592,             0.02698,           0.0093762,            0.013185,            0.009406,            0.009406,            0.009406
                   5,             0.03559,            0.050139,             0.01796,             0.72945,             0.76889,             0.78725,             0.59812,            0.026009,            0.009113,           0.0086352,            0.009208,            0.009208,            0.009208
                   6,            0.034866,            0.049455,             0.01702,             0.72888,             0.77629,             0.80049,             0.60549,            0.025597,           0.0087751,            0.008417,             0.00901,             0.00901,             0.00901
                   7,             0.03393,            0.048268,            0.016079,             0.74603,             0.79989,             0.81662,             0.62705,             0.02483,           0.0087517,           0.0059648,            0.008812,            0.008812,            0.008812
                   8,            0.033692,            0.047981,            0.015104,             0.76263,             0.79634,             0.82377,              0.6358,            0.024121,           0.0085612,           0.0052568,            0.008614,            0.008614,            0.008614
                   9,            0.033044,            0.047292,            0.014532,             0.75564,              0.7941,             0.82135,             0.63233,            0.024272,           0.0088587,           0.0086168,            0.008416,            0.008416,            0.008416
                  10,            0.032707,             0.04688,            0.014089,             0.77572,             0.80787,             0.82889,             0.64007,            0.023867,           0.0086786,           0.0059193,            0.008218,            0.008218,            0.008218
                  11,            0.032427,            0.046646,            0.013624,             0.76321,             0.81221,             0.83409,             0.64926,            0.023604,           0.0084522,           0.0049909,             0.00802,             0.00802,             0.00802
                  12,            0.032025,            0.046092,            0.013317,             0.77361,             0.81665,              0.8407,             0.65329,            0.023274,           0.0084202,           0.0047304,            0.007822,            0.007822,            0.007822
                  13,            0.031931,            0.045724,            0.012942,             0.79559,             0.81636,             0.84523,             0.65929,            0.023152,           0.0082766,           0.0057685,            0.007624,            0.007624,            0.007624
                  14,            0.031603,            0.045567,             0.01267,             0.77244,             0.83507,             0.84114,             0.66146,            0.022942,           0.0082204,           0.0038252,            0.007426,            0.007426,            0.007426
                  15,            0.031344,            0.045192,            0.012318,             0.81034,             0.79815,             0.84606,             0.66754,            0.022666,           0.0081813,           0.0034313,            0.007228,            0.007228,            0.007228
                  16,            0.031158,            0.044882,            0.012107,             0.76557,             0.84159,             0.84304,              0.6628,            0.022534,           0.0081344,           0.0044314,             0.00703,             0.00703,             0.00703
                  17,            0.031014,            0.045016,            0.011692,             0.79013,             0.81656,             0.84952,             0.66795,            0.022685,            0.008241,           0.0052151,            0.006832,            0.006832,            0.006832
