               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054673,            0.057832,            0.059821,             0.59109,             0.45446,             0.46424,             0.29257,            0.039369,           0.0099033,            0.037706,            0.070047,           0.0033281,           0.0033281
                   1,            0.043477,            0.051859,            0.028375,             0.66369,             0.66942,             0.68912,             0.47704,            0.033532,           0.0092445,            0.020605,            0.039915,           0.0065296,           0.0065296
                   2,            0.040084,            0.051969,            0.022909,             0.40502,             0.48352,             0.40599,             0.25599,            0.037068,            0.012267,            0.045784,           0.0096512,            0.009599,            0.009599
                   3,            0.038811,            0.052619,            0.022576,             0.70988,             0.67899,             0.71315,             0.51515,            0.033906,           0.0097548,            0.017924,            0.009406,            0.009406,            0.009406
                   4,            0.036858,            0.050916,            0.019879,             0.69837,             0.72036,             0.74575,             0.54871,            0.030431,             0.01005,            0.011847,            0.009406,            0.009406,            0.009406
                   5,            0.035668,            0.050102,            0.017506,             0.74146,             0.72835,             0.78083,             0.59273,              0.0289,           0.0092134,            0.013241,            0.009208,            0.009208,            0.009208
                   6,            0.034781,            0.049127,            0.016479,             0.70786,             0.74385,             0.77115,              0.5908,            0.028225,            0.009052,            0.015184,             0.00901,             0.00901,             0.00901
                   7,            0.034173,            0.048453,            0.015408,             0.76679,             0.76704,              0.8115,             0.61652,            0.027314,            0.009127,           0.0080348,            0.008812,            0.008812,            0.008812
                   8,             0.03358,            0.047569,            0.014684,             0.75358,               0.751,             0.80867,             0.61938,            0.026933,            0.008933,            0.013621,            0.008614,            0.008614,            0.008614
                   9,            0.033024,            0.046985,            0.014097,             0.76939,             0.78836,             0.82296,             0.62402,            0.026536,           0.0086783,           0.0096442,            0.008416,            0.008416,            0.008416
                  10,            0.032818,            0.046693,            0.013623,             0.75752,             0.81499,              0.8379,             0.64489,            0.025892,           0.0084288,           0.0085067,            0.008218,            0.008218,            0.008218
                  11,            0.032551,            0.046635,            0.013363,             0.78366,             0.79714,             0.83556,             0.64819,            0.025539,           0.0085216,           0.0061606,             0.00802,             0.00802,             0.00802
